"video","q1","q2","q5","q6","q7","q8","q11","q12","q13","q14","ppgender","ppage","ppeth","ppeducat"
1,5,3,8,4,4,6,4,3,3,4,1,24,1,3
1,2,-2,8,2,4,3,3,1,2,3,2,42,1,2
3,2,-2,6,-1,2,3,2,2,2,2,1,66,1,4
2,4,3,8,5,5,3,1,1,2,3,2,29,1,2
2,5,2,6,2,2,2,2,4,2,3,1,44,1,4
1,2,-2,6,5,5,1,2,2,3,3,1,26,1,4
2,3,3,5,3,4,1,2,1,2,3,1,71,1,3
4,2,-2,4,3,3,4,2,4,2,3,2,75,1,4
4,2,-2,5,2,4,2,1,2,2,2,1,40,1,2
1,5,3,5,1,4,3,1,1,2,3,1,60,1,3
1,3,1,3,2,4,2,1,1,2,3,2,60,1,4
3,1,-2,4,3,1,4,3,2,3,3,1,29,1,4
4,1,-2,4,1,4,2,2,2,2,3,1,33,1,2
4,3,3,5,2,4,6,2,2,2,4,2,76,1,1
4,2,-2,5,3,3,3,2,2,3,3,1,54,1,3
3,5,3,8,3,3,2,3,3,2,2,2,64,1,2
4,2,-2,5,2,4,2,1,2,2,3,1,70,1,3
1,1,-2,2,4,4,5,3,3,1,2,1,19,1,2
4,2,-2,4,2,2,4,1,1,3,2,2,84,1,3
1,5,3,4,1,3,4,2,3,2,3,1,27,1,2
1,2,-2,6,3,3,5,2,6,3,3,2,45,1,4
3,3,2,5,4,1,3,3,6,3,2,1,72,1,4
2,1,-2,5,3,3,4,4,3,3,2,1,35,1,2
4,1,-2,1,4,1,4,3,5,1,1,2,57,1,3
3,3,2,6,1,4,-1,1,1,2,3,1,63,1,3
1,2,-2,2,2,3,4,2,2,2,2,2,52,1,3
1,2,-2,7,2,3,2,1,1,2,3,1,85,1,3
1,1,-2,4,2,3,1,2,1,2,3,1,36,1,3
2,1,-2,2,4,4,2,3,2,3,2,2,61,1,3
1,2,-2,2,2,3,2,2,2,2,2,2,55,1,2
1,1,-2,3,1,3,1,4,1,2,3,1,74,1,2
2,5,3,4,1,4,3,3,1,2,3,1,34,1,2
4,4,2,6,3,2,1,2,2,2,3,2,54,1,4
4,2,-2,4,2,4,1,1,1,2,2,2,43,1,3
3,1,-2,3,2,2,4,2,3,2,2,1,43,1,2
4,1,-2,1,4,1,2,3,2,1,2,1,56,1,4
1,1,-2,4,4,4,4,3,1,2,2,2,26,1,4
3,2,-2,6,2,3,2,1,1,2,3,2,63,1,4
1,5,3,8,2,4,4,2,2,3,2,2,33,1,1
3,3,3,4,3,4,3,4,1,3,3,2,43,1,2
4,2,-2,6,2,3,1,1,1,2,3,1,55,1,2
1,3,2,4,4,4,4,2,3,2,2,1,21,1,4
2,3,2,4,1,2,5,3,2,2,3,1,50,1,3
3,2,-2,5,2,4,1,1,3,2,3,1,56,1,4
1,2,-2,6,2,4,3,1,1,2,3,1,33,1,4
1,2,-2,6,3,2,2,2,3,1,3,2,70,1,2
4,1,-2,2,2,4,4,2,1,2,3,2,45,1,3
1,1,-2,5,2,4,3,2,1,3,3,1,66,1,3
1,4,2,6,2,2,1,2,1,2,3,1,78,1,1
4,1,-2,2,3,5,2,3,4,1,1,2,53,1,2
3,2,-2,4,1,3,2,1,1,2,3,2,72,1,2
1,2,-2,5,3,3,3,2,2,2,3,1,48,1,3
2,3,3,3,2,2,3,3,2,2,3,1,42,1,4
4,1,-2,4,3,4,5,2,2,3,3,1,79,1,4
2,3,3,4,4,2,1,2,1,2,2,1,49,1,2
2,1,-2,4,2,2,2,2,1,2,4,2,85,1,4
2,2,-2,2,4,4,3,3,4,3,2,2,48,1,3
1,2,-2,4,2,1,2,2,1,2,2,2,24,1,3
2,3,2,7,2,3,3,3,3,2,3,1,43,1,2
2,2,-2,5,2,2,1,2,1,2,3,1,66,1,2
1,2,-2,4,2,2,-1,4,1,2,2,2,73,1,2
1,1,-2,3,2,2,4,4,1,2,3,2,18,1,2
2,1,-2,5,3,4,3,2,3,2,2,2,50,1,2
3,1,-2,4,1,4,1,3,1,2,3,1,38,1,2
3,2,-2,6,2,3,3,4,1,3,3,1,37,1,4
2,3,3,4,3,2,6,4,3,3,2,1,78,1,1
3,2,-2,5,3,3,2,2,1,2,3,1,63,1,4
2,2,-2,4,2,2,3,1,1,2,3,1,22,1,4
3,5,1,3,4,5,5,3,4,3,3,2,63,1,4
2,2,-2,7,3,4,3,1,3,2,3,1,74,1,3
3,2,-2,6,1,4,1,1,1,2,3,2,27,1,3
4,2,-2,5,3,1,1,2,2,2,3,1,75,1,2
1,2,-2,6,4,4,3,1,2,2,3,1,56,1,4
4,1,-2,3,4,2,2,3,5,2,2,2,62,1,4
1,3,2,5,3,4,3,2,2,-1,3,2,66,1,2
1,3,1,4,2,4,2,2,1,2,3,2,43,1,3
3,4,3,4,3,4,6,4,2,2,2,1,56,1,2
4,2,-2,5,2,4,3,2,1,2,2,2,44,1,2
4,5,2,4,5,3,3,2,3,3,2,2,60,1,2
1,2,-2,6,2,3,2,3,2,2,3,2,62,1,2
1,1,-2,4,2,3,2,2,1,2,2,2,49,1,3
1,3,3,4,3,2,2,2,1,2,2,1,37,1,4
3,5,1,4,5,4,2,2,1,3,4,2,51,1,3
2,1,-2,3,2,3,5,2,1,3,3,2,71,1,1
2,1,-2,5,3,2,4,2,2,1,1,1,44,1,4
1,1,-2,4,1,4,3,3,5,2,2,2,39,1,1
2,2,-2,6,4,4,5,1,4,2,3,2,65,1,2
4,1,-2,3,4,2,2,3,4,1,2,1,51,1,4
2,2,-2,7,1,3,1,2,1,2,3,2,42,1,3
3,2,-2,4,3,2,3,1,1,2,3,2,58,1,2
1,2,-2,6,2,4,4,1,2,2,3,2,81,1,4
2,1,-2,8,3,3,3,3,3,2,2,1,74,1,4
