city,precinct,zip,race,party,sex,age,turf,voted01,voted00,voted99,family,famsize,represen,reached,other,goaway,nothome,bad,cant,nothing,contact,treatmen,primary
Bridgeport,Black Rock School,6605,,D,F,28,12,0,0,,8515,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Black Rock School,6605,,D,F,45,12,0,0,,8529,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Black Rock School,6605,,D,F,34,12,0,0,,8543,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Longfellow School,6605,,D,F,49,12,0,1,,8547,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Longfellow School,6605,,D,F,47,12,0,1,,8548,2,1,0,0,0,1,0,,,0,1,0
Bridgeport,Longfellow School,6605,,D,F,23,12,0,0,,8554,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Longfellow School,6605,,D,F,86,12,0,0,,8555,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,22,13,0,0,,10716,2,1,0,0,0,1,0,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,65,13,0,1,,10721,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,44,13,0,1,,10725,1,1,0,0,0,0,1,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,29,13,1,1,,10726,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,47,13,1,1,,10735,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,52,13,0,0,,10736,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Harbor View Towers,6608,,D,F,37,14,0,1,,11522,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Harbor View Towers,6608,,D,F,69,14,0,1,,11523,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Harbor View Towers,6608,,D,F,28,14,0,1,,11531,2,1,0,0,0,1,0,,,0,1,0
Bridgeport,Harbor View Towers,6608,,D,F,24,14,0,0,,11539,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Harbor View Towers,6608,,D,F,54,14,0,1,,11543,1,1,0,0,0,0,0,,,0,1,0
Bridgeport,Harbor View Towers,6608,,D,F,42,14,0,1,,11544,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Harbor View Towers,6608,,D,F,45,14,0,1,,11545,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Harbor View Towers,6608,,D,F,41,14,0,0,,11546,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,26,14,0,0,,11550,3,1,0,0,0,0,0,,,0,0,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,24,14,0,0,,11553,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,30,14,0,0,,11556,1,1,0,0,0,0,1,,,0,1,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,26,14,0,0,,11557,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,56,14,0,0,,11558,2,1,0,0,0,1,0,,,0,1,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,39,14,0,0,,11559,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,42,14,0,0,,11561,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,26,14,0,0,,11569,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,53,14,0,1,,11571,1,1,0,0,0,0,1,,,0,1,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,55,14,0,1,,11574,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Longfellow School,6605,,D,F,75,15,0,0,,11813,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Longfellow School,6605,,D,F,27,15,0,0,,11819,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Longfellow School,6605,,D,F,42,15,1,1,,11820,2,1,0,0,0,1,0,,,0,1,1
Bridgeport,Longfellow School,6605,,D,F,65,15,0,1,,11822,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Longfellow School,6605,,D,F,72,15,0,1,,11824,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Black Rock School,6605,,D,F,50,15,0,0,,11831,2,1,0,0,0,0,1,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,38,16,0,0,,12053,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,42,16,0,0,,12060,2,1,0,0,0,0,1,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,35,16,0,0,,12061,1,1,0,0,0,0,1,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,26,16,0,0,,12062,2,1,0,0,0,0,1,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,77,16,0,1,,12064,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,24,16,0,1,,12069,1,1,0,0,0,0,1,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,65,16,1,1,,12079,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,30,16,0,0,,12084,1,1,0,0,0,0,0,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,24,16,0,0,,12090,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,46,16,0,1,,12092,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,40,16,0,1,,12094,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,27,16,1,1,,12095,2,1,0,0,0,1,0,,,0,1,0
